body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.atributos,framework.field.autenticacoes,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.metodo,framework.field.mitigacoes,framework.field.modo,framework.field.passos,framework.field.passosSelecao,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.status,framework.field.statusCalc,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.total,framework.field.traceId,framework.field.veredito,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=ftp,aprofundamento_view,,b424cd92-be6f-458b-8650-43cd66529248,5,,,,,6,,,,,,,,,,,,,,,,ftp,,,,,,,,,,protocolos,ok,GET,,/protocolos/ftp,INFO,1788807840000000000,56389386a0504b6bbef3ff472f8190be
evento=http_access status=ok durationMs=10 httpStatus=200,http_access,10,57f42ec4-6dd1-4270-be48-cab13177a2b9,,,,,,,,10,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807840000000000,13ab12e071a54b2b9b769c2c69c7a390
evento=http_access status=ok durationMs=22 httpStatus=200,http_access,22,f36b6c95-8633-4148-8fb9-4b952f8cd235,,,,,,,,22,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/telnet,INFO,1788807840000000000,1444d7ceb988475e9e3cd1537efaed91
evento=aprofundamento_view status=ok ataques=5 conceitos=5 protocolo=telnet,aprofundamento_view,,7d0d1d99-a3b7-46b4-9574-f48712b5f4b5,5,,,,,5,,,,,,,,,,,,,,,,telnet,,,,,,,,,,protocolos,ok,GET,,/protocolos/telnet,INFO,1788807840000000000,1444d7ceb988475e9e3cd1537efaed91
evento=http_access status=ok durationMs=0 httpStatus=200,http_access,0,97eb61af-a078-4d50-b608-5e5255e2278a,,,,,,,,0,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807839000000000,b878fca16d9543c1b9647b33a845e153
evento=http_access status=ok durationMs=6 httpStatus=200,http_access,6,820edd1c-307f-4b26-855c-6e81773e1f74,,,,,,,,6,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/smtp,INFO,1788807839000000000,ebc512c2d2074fa4ab6ca657400e6fae
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=smtp,aprofundamento_view,,ee28d19f-ef46-43de-b39f-e2051b72767c,5,,,,,6,,,,,,,,,,,,,,,,smtp,,,,,,,,,,protocolos,ok,GET,,/protocolos/smtp,INFO,1788807839000000000,ebc512c2d2074fa4ab6ca657400e6fae
evento=http_access status=ok durationMs=0 httpStatus=200,http_access,0,a4df1439-c12d-4f05-8d03-9cf2d1c84a61,,,,,,,,0,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807838000000000,4329ec11b5d9448cb5976e4850b9609c
evento=http_access status=ok durationMs=6 httpStatus=200,http_access,6,f22ab56c-0a0a-4225-aa82-5a16ccfe94c6,,,,,,,,6,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/ftp,INFO,1788807838000000000,a44a6c09b5d44270b0efb3aa7c50f50b
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=ftp,aprofundamento_view,,770c2a57-221e-4890-8daa-a986bd9b3368,5,,,,,6,,,,,,,,,,,,,,,,ftp,,,,,,,,,,protocolos,ok,GET,,/protocolos/ftp,INFO,1788807838000000000,a44a6c09b5d44270b0efb3aa7c50f50b
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,8327e107-b2be-4aef-96a2-33288185f183,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807834000000000,fc984cfed7944b1789ecaf80c2b31dbd
evento=http_access status=ok durationMs=7 httpStatus=200,http_access,7,2f16589f-4138-4240-83c0-78d786a809b7,,,,,,,,7,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/http,INFO,1788807834000000000,c8656555be2f43aeb531fdb52b09f7c3
