body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.autenticacoes,framework.field.blocos,framework.field.campos,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enderecos,framework.field.estrategia,framework.field.exibidos,framework.field.extras,framework.field.formatos,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.mitigacoes,framework.field.pagina,framework.field.passos,framework.field.prefixoAlvo,framework.field.prefixoBase,framework.field.prefixoResumo,framework.field.prefixoVlan,framework.field.protocolo,framework.field.redes,framework.field.resultado,framework.field.status,framework.field.tabelas,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.tipos,framework.field.total,framework.field.totalSubredes,framework.field.truncado,framework.field.veredito,framework.field.vlans,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=catalog_load status=ok total=30,catalog_load,,cc6af9fd-db89-4ead-97de-b0653677ea86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,portas,ok,GET,,/portas,INFO,1788806375000000000,6d37e40d5973468d83a84ddd040cdc70
evento=http_access status=ok,http_access,3,890169f7-547d-4892-9cb3-38c0947f4ba3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806374000000000,b0532c6413c24387b605ed0a17ced039
evento=http_access status=ok,http_access,33,43995041-aa7f-497a-8615-65d58d1d39b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1788806374000000000,5887b6f6ccda4d5686de8752f7e183b9
evento=catalog_load status=ok total=47,catalog_load,,b1e73887-048e-4152-a0cd-884a04b8664a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,protocolos,ok,GET,,/protocolos,INFO,1788806374000000000,5887b6f6ccda4d5686de8752f7e183b9
evento=catalog_load status=ok total=47,catalog_load,,03a09c96-8b34-4de5-92a4-0a1b5390ce82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,protocolos,ok,GET,,/protocolos,INFO,1788806374000000000,5887b6f6ccda4d5686de8752f7e183b9
evento=http_access status=ok,http_access,0,a0257392-0324-43b2-86a3-eb01e86e14b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806374000000000,634f812bdfa24ef895e8c7ff2069dad7
evento=http_access status=ok,http_access,13,273ff68f-0657-4122-aad3-27c7658ddc7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/http,INFO,1788806373000000000,dd2e01be12d4406296c081aa563788cd
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=http,aprofundamento_view,,a03976a6-b36c-4786-823b-d49b6f158bbe,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,http,,,,,,,,,,,,,protocolos,ok,GET,,/protocolos/http,INFO,1788806373000000000,dd2e01be12d4406296c081aa563788cd
evento=http_access status=ok,http_access,1,ef446ee0-5be9-49ee-b2a9-76efc745badf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806373000000000,a0121fe5bf424d8b9d38c2f0addfd2f6
evento=http_access status=ok,http_access,13,4b6ab04b-e117-43ae-88eb-8f48475db26f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/ipv4,INFO,1788806373000000000,72fd33c27f7b490c8ec4aa3a6e0f98cc
